text,intent
bisa bantu saya ingin antibiotik tanpa resep,batasan_medis
boleh minta obat keras,batasan_medis
mohon info boleh minta obat keras,batasan_medis
saya ingin tanya boleh minta obat keras,batasan_medis
bisa bantu boleh minta obat keras,batasan_medis
bisa menentukan penyakit saya,batasan_medis
mohon info bisa menentukan penyakit saya,batasan_medis
saya ingin tanya bisa menentukan penyakit saya,batasan_medis
bisa bantu bisa menentukan penyakit saya,batasan_medis
obat resep tanpa dokter bisa tidak,batasan_medis
mohon info obat resep tanpa dokter bisa tidak,batasan_medis
saya ingin tanya obat resep tanpa dokter bisa tidak,batasan_medis
bisa bantu obat resep tanpa dokter bisa tidak,batasan_medis
tolong tentukan penyakit saya,batasan_medis
mohon info tolong tentukan penyakit saya,batasan_medis
saya ingin tanya tolong tentukan penyakit saya,batasan_medis
bisa bantu tolong tentukan penyakit saya,batasan_medis
saya hamil boleh minum obat apa,batasan_medis
mohon info saya hamil boleh minum obat apa,batasan_medis
saya ingin tanya saya hamil boleh minum obat apa,batasan_medis
bisa bantu saya hamil boleh minum obat apa,batasan_medis
anak bayi saya sakit obat apa,batasan_medis
mohon info anak bayi saya sakit obat apa,batasan_medis
saya ingin tanya anak bayi saya sakit obat apa,batasan_medis
bisa bantu anak bayi saya sakit obat apa,batasan_medis
siapa presiden indonesia,out_of_scope
saya ingin tahu siapa presiden indonesia,out_of_scope
tolong bantu siapa presiden indonesia,out_of_scope
tolong buatkan puisi cinta,out_of_scope
saya ingin tahu tolong buatkan puisi cinta,out_of_scope
tolong bantu tolong buatkan puisi cinta,out_of_scope
bagaimana cara membuat website,out_of_scope
saya ingin tahu bagaimana cara membuat website,out_of_scope
tolong bantu bagaimana cara membuat website,out_of_scope
rekomendasi laptop gaming apa,out_of_scope
saya ingin tahu rekomendasi laptop gaming apa,out_of_scope
tolong bantu rekomendasi laptop gaming apa,out_of_scope
berapa harga emas hari ini,out_of_scope
saya ingin tahu berapa harga emas hari ini,out_of_scope
tolong bantu berapa harga emas hari ini,out_of_scope
apa rumus regresi linear,out_of_scope
saya ingin tahu apa rumus regresi linear,out_of_scope
tolong bantu apa rumus regresi linear,out_of_scope
cara setting router bagaimana,out_of_scope
saya ingin tahu cara setting router bagaimana,out_of_scope
tolong bantu cara setting router bagaimana,out_of_scope
tolong prediksi saham besok,out_of_scope
saya ingin tahu tolong prediksi saham besok,out_of_scope
tolong bantu tolong prediksi saham besok,out_of_scope
